age,education,outside_self,condition2,employed_now,college_deg,children,outside_wedge,age_groups
27,6,1,1,1,1,1,-1,2
22,6,1,0,1,1,1,-3,1
22,3,1,0,1,0,2,1,1
24,3,1,1,1,0,2,1,2
25,6,1,0,1,1,2,-13,2
26,6,1,1,1,1,2,-4,2
20,5,1,1,1,0,3,1,1
23,6,1,0,1,1,1,0,1
27,6,1,0,0,1,0,-20,2
23,6,1,1,1,1,0,-8,1
22,6,1,1,1,1,0,-12,1
25,6,1,0,1,1,2,-18,2
30,6,1,0,1,1,0,-2,3
24,6,1,1,1,1,1,-27,2
21,6,1,1,1,1,3,1,1
30,6,1,1,1,1,2,-25,3
20,5,1,1,1,0,1,-18,1
21,5,1,1,1,0,0,-18,1
25,6,1,0,1,1,2,-10,2
23,6,1,0,1,1,1,1,1
29,6,1,0,1,1,2,-8,2
21,5,1,0,1,0,2,1,1
23,3,0,1,1,0,1,-6,1
24,6,1,0,1,1,0,-5,2
26,5,1,0,1,0,2,-1,2
25,5,1,0,1,0,1,1,2
26,5,1,0,1,0,0,-5,2
23,6,1,1,1,1,1,-2,1
30,6,1,0,1,1,0,0,3
27,6,1,0,1,1,0,-9,2
25,6,1,1,1,1,2,-22,2
28,5,1,1,1,0,2,-20.827587127685547,2
25,6,1,1,1,1,4,-2.827587127685547,2
22,5,0,1,1,0,0,-18.827587127685547,1
26,6,1,0,1,1,1,5.172412872314453,2
25,6,1,0,1,1,3,5.172412872314453,2
28,6,1,1,1,1,2,-7.827587127685547,2
28,6,1,1,1,1,0,-9.827587127685547,2
25,6,1,1,1,1,0,5.172412872314453,2
28,5,1,1,1,0,1,-10.827587127685547,2
27,6,0,0,1,1,3,-15.827587127685547,2
26,6,1,1,0,1,0,5.172412872314453,2
25,6,1,1,1,1,2,-2.827587127685547,2
28,6,1,0,0,1,1,4.172412872314453,2
22,7,1,0,1,1,0,-10.827587127685547,1
22,3,1,0,1,0,0,5.172412872314453,1
30,6,1,1,1,1,0,-7.827587127685547,3
26,3,1,0,1,0,1,-3.827587127685547,2
27,7,1,0,1,1,2,-6.827587127685547,2
25,5,1,0,1,0,1,-16.827587127685547,2
25,7,1,1,1,1,2,5.172412872314453,2
25,6,1,0,1,1,0,-13.827587127685547,2
24,6,1,0,1,1,2,5.172412872314453,2
22,3,1,1,0,0,2,-18.827587127685547,1
25,6,1,0,0,1,1,-7.827587127685547,2
26,8,1,1,1,1,2,5.172412872314453,2
25,5,1,1,1,0,1,-1.8275871276855469,2
20,9,0,0,1,1,2,-17.827587127685547,1
28,6,0,1,1,1,2,-23.827587127685547,2
28,6,0,0,1,1,3,-18.827587127685547,2
25,6,1,1,1,1,3,1,2
25,6,1,1,0,1,0,-15,2
21,6,1,0,1,1,0,1,1
20,3,1,0,1,0,0,1,1
25,6,1,0,1,1,0,-3,2
23,6,1,1,0,1,0,-4,1
25,6,1,1,1,1,0,-8,2
20,5,1,0,1,0,0,-9,1
24,6,1,0,1,1,2,-2,2
22,3,1,1,1,0,1,-13,1
24,6,1,0,1,1,4,1,2
25,6,1,0,1,1,2,1,2
20,5,1,0,0,0,0,-3,1
20,6,1,1,1,1,1,-18,1
30,7,1,1,1,1,2,-3,3
24,6,1,0,1,1,1,-11,2
35,6,1,1,1,1,2,0,3
25,6,0,1,1,1,4,-3,2
30,6,1,1,1,1,3,-22,3
23,6,1,0,1,1,0,-4,1
28,6,1,0,1,1,1,-10,2
24,6,1,1,1,1,3,-22,2
25,6,1,0,1,1,2,-12,2
24,6,1,0,1,1,2,-9,2
23,6,1,1,1,1,1,1,1
25,6,1,1,1,1,1,-5,2
26,6,1,0,1,1,2,1,2
25,6,1,0,1,1,7,-19,2
25,6,1,1,1,1,0,-5,2
28,6,1,1,1,1,1,-2,2
25,3,1,0,1,0,2,-4.5555572509765625,2
20,3,1,0,0,0,0,-22.555557250976563,1
22,3,1,1,0,0,0,4.4444427490234375,1
25,5,1,0,1,0,2,4.4444427490234375,2
23,5,1,1,1,0,0,-1.5555572509765625,1
28,8,1,1,1,1,0,-22.555557250976563,2
29,7,1,1,1,1,3,4.4444427490234375,2
22,3,0,0,0,0,0,-24.555557250976563,1
20,6,1,0,0,1,0,4.4444427490234375,1
32,6,1,0,1,1,2,-20.555557250976563,3
22,5,0,0,1,0,0,-14.555557250976563,1
25,6,1,0,1,1,2,-17.555557250976563,2
28,3,1,0,1,0,3,2.4444427490234375,2
19,3,1,1,1,0,0,-4.5555572509765625,1
27,7,1,1,1,1,2,-3.5555572509765625,2
20,5,0,0,0,0,0,-15.555557250976563,1
35,3,1,1,1,0,4,-9.5555572509765625,3
19,3,1,1,1,0,2,-7.5555572509765625,1
21,5,1,1,0,0,0,-17.555557250976563,1
23,3,1,0,1,0,0,-13.555557250976563,1
22,6,1,0,1,1,2,-16.555557250976563,1
34,5,0,0,1,0,2,-22.555557250976563,3
25,6,1,0,1,1,0,4.4444427490234375,2
24,6,1,0,1,1,0,-24.555557250976563,2
26,6,1,0,1,1,1,-4.5555572509765625,2
25,3,1,1,1,0,2,-16.555557250976563,2
25,5,1,0,1,0,4,-7.827587127685547,2
25,6,1,0,1,1,3,-22.827587127685547,2
23,5,1,1,1,0,6,-3.827587127685547,1
25,6,1,1,1,1,1,-12.827587127685547,2
27,5,1,1,1,0,3,0.17241287231445313,2
28,5,1,0,1,0,5,-14.827587127685547,2
22,5,1,0,1,0,8,-15.827587127685547,1
25,5,1,0,0,0,0,-3.827587127685547,2
20,3,0,1,0,0,0,-5.827587127685547,1
30,6,0,0,1,1,2,-7.827587127685547,3
20,3,1,0,0,0,0,-23.827587127685547,1
18,3,1,1,0,0,0,5.172412872314453,1
21,3,1,0,0,0,2,-5.827587127685547,1
21,3,0,1,1,0,0,-23.827587127685547,1
28,3,1,1,1,0,3,-9.827587127685547,2
20,5,1,0,1,0,2,-6.827587127685547,1
24,6,1,0,1,1,1,-3.827587127685547,2
36,3,1,1,1,0,2,1.1724128723144531,3
21,3,1,0,1,0,0,-11.827587127685547,1
23,3,1,1,1,0,2,-8.827587127685547,1
25,3,1,0,1,0,2,-12.827587127685547,2
30,7,1,1,1,1,1,3.172412872314453,3
21,5,1,1,0,0,0,-14.827587127685547,1
20,3,0,1,1,0,0,-6.827587127685547,1
19,3,1,0,0,0,0,-4.827587127685547,1
29,7,1,1,1,1,3,5.172412872314453,2
28,8,1,1,1,1,4,5.172412872314453,2
18,3,1,1,1,0,0,-20.827587127685547,1
23,6,1,0,1,1,1,3.5625,1
23,6,1,1,1,1,2,0.5625,1
30,5,0,0,0,0,5,2.5625,3
25,6,1,0,1,1,0,6.5625,2
25,6,1,0,1,1,0,6.5625,2
24,6,1,1,1,1,2,6.5625,2
19,3,1,1,1,0,2,-1.4375,1
24,5,1,1,1,0,2,-9.4375,2
23,5,1,0,1,0,1,-1.4375,1
30,7,1,0,1,1,3,6.5625,3
22,4,0,1,1,0,2,-8.4375,1
20,5,1,0,1,0,5,5.5625,1
23,6,1,0,1,1,2,-8.4375,1
26,5,0,0,1,0,1,-6.4375,2
24,5,1,0,1,0,2,6.5625,2
23,7,0,1,1,1,8,-12.4375,1
26,6,1,1,1,1,1,-4.4375,2
22,5,1,1,1,0,0,6.5625,1
26,6,1,0,1,1,1,-6.4375,2
23,6,1,0,1,1,2,-2.4375,1
28,6,1,0,1,1,3,-3.4375,2
24,6,1,0,0,1,2,-5.4375,2
24,6,1,1,1,1,0,-10.4375,2
18,3,1,0,1,0,2,6.5625,1
19,3,1,0,1,0,2,-12.4375,1
25,5,1,0,1,0,2,-16.4375,2
22,5,1,0,1,0,1,-1.4375,1
